word,meaningKo
researcher,연구자
participant,참가자
accord,일치하다; 부합
behave,행동하다
disappoint,실망시키다
infant,유아
sincerely,진심으로
tendency,"경향, 성향"
complexity,복잡성
perceive,"인지하다, 지각하다"
locate,"위치시키다, 찾아내다"
excite,흥분시키다
circumstance,"상황, 환경"
emerge,"나타나다, 부상하다"
expectation,기대
trait,"특성, 특징"
arise,발생하다
evolve,진화하다
sack,"자루, 부대; 해고하다"
foul,반칙; 더러운
surround,둘러싸다
abandon,"버리다, 포기하다"
interact,상호작용하다
derive,"유래하다, 끌어내다"
interpret,"해석하다, 통역하다"
delight,기쁨; 기쁘게 하다
construct,구성하다; 구조물
expose,"노출시키다, 폭로하다"
inspire,영감을 주다
algorithm,알고리즘
enhance,향상시키다
embarrass,당황하게 하다
characteristic,특징적인; 특징
insist,"주장하다, 고집하다"
frustrate,좌절시키다
amaze,놀라게 하다
listener,청취자
accomplishment,"성취, 업적"
thrill,"짜릿함, 흥분시키다"
nutrient,영양소
calorie,칼로리
adaptive,적응적인
anticipate,"예상하다, 기대하다"
distinguish,구별하다
puzzle,"퍼즐, 어리둥절하게 하다"
habitat,서식지
fossil,화석
arrange,"배열하다, 준비하다"
evaluate,평가하다
adaptation,"적응, 각색"
weave,"짜다, 엮다"
remark,발언; 언급하다
ecosystem,생태계
restrict,제한하다
minimize,최소화하다
correspondence,"일치, 서신"
emotionally,감정적으로
detect,"감지하다, 발견하다"
alter,"바꾸다, 변경하다"
physic,"물리학, 물리적 방법"
barter,물물교환하다
advertise,광고하다
molecule,분자
evolutionary,진화의
fade,"희미해지다, 사라지다"
gesture,"몸짓, 제스처"
bore,지루하게 하다
critic,비평가
adapt,"적응하다, 각색하다"
possess,소유하다
uncertainty,불확실성
wiggly,꿈틀거리는
overwhelm,압도하다
swimmer,수영하는 사람
organism,유기체
motivate,동기를 부여하다
isolate,"고립시키다, 분리하다"
trajectory,"궤적, 궤도"
obstacle,장애물
attach,"붙이다, 첨부하다"
attribute,속성; ~탓으로 돌리다
modify,수정하다
economist,경제학자
conclude,결론을 내리다
sculpture,조각(품)
employ,"고용하다, 사용하다"
accomplish,"성취하다, 해내다"
experimenter,실험자
depress,"우울하게 하다, 침체시키다"
predator,"포식자, 포식 동물"
analogy,"유추, 비유"
strive,"애쓰다, 노력하다"
philosopher,철학자
relieve,"완화하다, 안도하게 하다"
render,"만들다, 표현하다"
dioxide,이산화물
glance,"흘낏 봄, 훑어보다"
compliment,칭찬(하다)
impose,"부과하다, 강요하다"
frustration,좌절(감)
manufacture,제조하다
pause,잠시 멈춤; 멈추다
donation,기부
disappointment,실망
differ,다르다
passive,수동적인
likewise,마찬가지로
amputate,절단하다
fascinate,매혹하다
startle,깜짝 놀라게 하다
excitedly,흥분하여
ethic,윤리
subsidy,보조금
interrupt,"방해하다, 중단시키다"
dilemma,"딜레마, 진퇴양난"
scar,흉터
imply,"암시하다, 내포하다"
analyze,분석하다
dismiss,"묵살하다, 해고하다"
consume,소비하다
sensation,"감각, 센세이션"
inevitably,불가피하게
continually,끊임없이
translate,"번역하다, 전환하다"
costly,"값비싼, 대가가 큰"
unconscious,"무의식의, 의식을 잃은"
capitalism,자본주의
colleague,동료
propose,제안하다
sail,항해하다
precision,"정밀함, 정확성"
vitamin,비타민
slam,쾅 닫다
neuroscientist,신경과학자
magnify,확대하다
tempt,유혹하다
complicate,복잡하게 만들다
thinker,사상가
diagnose,진단하다
diminish,"줄어들다, 약화시키다"
eagerly,"열망하여, 간절히"
commute,통근하다
vapor,증기
assign,"할당하다, 배정하다"
reinforce,강화하다
emphasize,강조하다
distract,주의를 산만하게 하다
neglect,"방치하다, 소홀히 하다"
exhaust,"고갈시키다, 지치게 하다"
endure,"견디다, 지속되다"
exploit,"이용하다, 착취하다"
autonomy,자율(성)
judgement,판단
instinct,본능
calculate,계산하다
dramatically,극적으로
blend,"섞다, 혼합"
countless,"무수한, 셀 수 없는"
incentive,"동기, 유인"
grasp,"이해하다, 파악하다; 움켜쥐다"
tire,지치게 하다; 타이어
reject,거부하다
headquarter,"본부, 본사"
granary,곡물 창고
handcuff,수갑(을 채우다)
cubicle,칸막이 방
irritate,짜증나게 하다
burrow,굴(을 파다)
seawater,바닷물
anthropologist,인류학자
deprive,박탈하다
compel,강요하다
nurture,"양육하다, 육성하다"
biologist,생물학자
bouquet,꽃다발
stalk,줄기; 몰래 접근하다
accumulate,축적하다
doorway,출입구
spectator,관중
magician,마술사
implication,"함축, 영향"
discourage,"낙담시키다, 단념시키다"
swell,"부풀다, 커지다"
stimulate,자극하다
sensory,감각의
gaze,응시하다
ecological,생태학적인
capitalist,자본주의의; 자본가
efficiently,효율적으로
accompany,"동반하다, 동행하다"
temper,"성질, 기질"
persuade,설득하다
constitute,구성하다
obscure,"무명의, 모호한"
fulfill,"이행하다, 성취하다"
dominate,지배하다
vague,모호한
affection,애정
exceed,초과하다
sustain,"지속시키다, 지탱하다"
threaten,위협하다
elegant,우아한
socially,사회적으로
irrelevant,"무관한, 관련 없는"
prey,먹이
facilitate,"촉진하다, 용이하게 하다"
firmly,"확고하게, 단단히"
isolation,"고립, 격리"
aesthetic,"미적인, 심미적인"
profitable,수익성 있는
essence,본질
mathematical,수학적인
strengthen,강화하다
transform,변형시키다
declare,"선언하다, 단언하다"
neocortex,신피질
microbe,미생물
newsworthy,보도할 가치가 있는
shopper,쇼핑객
sensibility,감수성
drawback,"결점, 문제점"
constraint,제약
refine,"정제하다, 개선하다"
entropy,엔트로피
aspiration,"열망, 포부"
persuasive,설득력 있는
blindness,"실명, 맹목"
compose,"구성하다, 작곡하다"
globalization,세계화
intrinsic,"본질적인, 내재적인"
weaken,약화시키다
dissolve,"용해되다, 해체하다"
conversely,반대로
physiological,생리적인
disrupt,"방해하다, 붕괴시키다"
equilibrium,균형(상태)
tailor,재단사; 맞추다
paradigm,"패러다임, 모범"
blossom,꽃(이 피다)
pest,해충
disagreement,"불일치, 의견 차이"
retrieve,"되찾다, 검색하다"
roar,"포효하다, 굉음"
greatness,위대함
masculine,남성적인
metaphor,은유
tempo,"박자, 속도"
worthwhile,가치 있는
merge,"합병하다, 합쳐지다"
remarkably,"현저하게, 매우"
herd,"무리, 떼"
surroundings,"환경, 주변"
imaginary,"상상의, 가상의"
psychic,"심령의, 심적인"
reluctant,"꺼리는, 마지못한"
enjoyment,즐거움
absorb,흡수하다
coordinate,조정하다
despair,절망
convey,"전달하다, 나르다"
dominance,"지배(력), 우세"
discourse,"담화, 담론"
bait,미끼
incorporate,"포함하다, 통합시키다"
commodity,"상품, 물품"
proximity,"근접, 가까움"
biography,전기(傳記)
sharply,"날카롭게, 급격하게"
necessity,필요(성)
educate,교육하다
readily,"쉽게, 손쉽게"
occupy,"차지하다, 점유하다"
automobile,자동차
distress,"고통, 괴로움"
melt,녹다
sweep,"쓸다, 휩쓸다"
hazard,위험
archive,기록 보관소
entrepreneur,기업가
civilization,문명
deliberately,의도적으로
bounce,"튀다, 튀어오르다"
enthusiasm,열정
mineral,광물
workplace,직장
echo,"메아리, 울림"
adequate,"적절한, 충분한"
premonitory,"전조의, 예고의"
handwrite,손으로 쓰다
sophisticate,세련되게 하다
ferryman,뱃사공
shrivel,쭈그러들다
cuneiform,쐐기 문자
underlie,"근저에 있다, 기초가 되다"
snowmobile,설상차
villager,마을 주민
subconsciously,잠재의식적으로
sycamore,"플라타너스, 시커모어"
amazement,놀라움
stanza,(시의) 연
dribble,드리블하다
nomad,유목민
cocoon,고치
parable,"우화, 비유"
condensation,"응결, 결로"
incline,"기울다, 경사면"
theorist,이론가
neuron,"뉴런, 신경세포"
exaggerate,과장하다
devise,고안하다
assertive,자기주장이 강한
memorize,암기하다
unload,짐을 내리다
speechless,말을 잃은
recite,암송하다
diffuse,"퍼지다, 확산시키다"
inhabit,"거주하다, 서식하다"
farmland,농지
inquire,문의하다
prescribe,"처방하다, 규정하다"
indifferent,무관심한
roadside,길가
raft,뗏목
uncover,"밝혀내다, 드러내다"
adventurous,모험적인
paddle,노를 젓다
correspond,"상응하다, 부합하다"
bribe,뇌물(을 주다)
conform,"따르다, 순응하다"
intuition,직관
uniquely,독특하게
offend,기분을 상하게 하다
attain,달성하다
proliferation,"확산, 증식"
novelist,소설가
unfamiliar,"낯선, 익숙하지 않은"
maximize,극대화하다
astronomy,천문학
corpus,"말뭉치, 전집"
mutation,돌연변이
symptom,증상
erosion,침식
durable,내구성 있는
manipulate,조작하다
unwilling,"꺼리는, 내키지 않는"
digest,"소화하다, 요약"
integrate,통합하다
anticipation,"기대, 예상"
allocation,"배분, 할당"
cooperate,협력하다
distribute,"분배하다, 배포하다"
warmth,따뜻함
willingness,기꺼이 하는 마음
organizational,조직의
teammate,팀 동료
yell,소리치다
abundance,풍부함
sync,"동조, 일치"
cooperative,협력적인
systematic,체계적인
roast,굽다
interfere,"간섭하다, 방해하다"
obsession,집착
historian,역사가
unemployed,실직한
feminine,여성적인
fierce,"격렬한, 사나운"
inequality,불평등
mentor,"멘토, 지도자"
halt,"멈추다, 정지"
consequently,결과적으로
risky,위험한
curiosity,호기심
randomly,무작위로
spark,"촉발시키다, 불꽃"
expedition,탐험
probe,"조사하다, 탐사하다"
kindness,친절
accordingly,"따라서, 그에 맞춰"
machinery,기계(류)
nonetheless,그럼에도 불구하고
bolt,"볼트, 빗장"
donate,기부하다
cope,대처하다
static,"정적인, 고정된"
orientation,"지향, 오리엔테이션"
instal,설치하다
horrify,겁먹게 하다
inattentive,부주의한
taxon,분류군
pitfall,"함정, 위험"
infinitive,부정사
devastate,황폐화시키다
extrinsic,"외적인, 외부의"
paralyze,마비시키다
contaminate,오염시키다
cline,점진적 변화(생태 용어)
obsess,"사로잡다, 집착하게 하다"
yearn,갈망하다
deadlock,교착 상태
navigational,"항해의, 항법의"
sociologist,사회학자
spar,"겨루다, 연습 시합하다"
craftsmanship,"장인정신, 솜씨"
pastime,"취미, 오락"
humankind,인류
subsistence,"생계, 자급자족"
salient,"두드러진, 현저한"
pedagogy,교육학
archaeologist,고고학자
inseparable,분리할 수 없는
screwdriver,드라이버(공구)
chore,"잡일, 허드렛일"
propel,추진시키다
embody,"구현하다, 담다"
