rank,word,frequency
1,researcher,55
2,participant,45
3,accord,41
4,behave,30
5,disappoint,28
6,infant,26
7,sincerely,25
8,tendency,24
9,complexity,24
10,perceive,23
11,locate,23
12,excite,22
13,circumstance,22
14,emerge,22
15,expectation,22
16,trait,21
17,arise,21
18,evolve,20
19,sack,20
20,foul,20
21,surround,19
22,abandon,19
23,interact,19
24,derive,18
25,interpret,18
26,delight,18
27,construct,18
28,expose,18
29,inspire,18
30,algorithm,18
31,enhance,18
32,embarrass,17
33,characteristic,17
34,insist,17
35,frustrate,16
36,amaze,16
37,listener,16
38,accomplishment,16
39,thrill,16
40,nutrient,15
41,calorie,15
42,adaptive,15
43,anticipate,15
44,distinguish,15
45,puzzle,15
46,habitat,15
47,fossil,15
48,arrange,15
49,evaluate,15
50,adaptation,15
51,weave,14
52,remark,14
53,ecosystem,14
54,restrict,14
55,minimize,14
56,correspondence,14
57,emotionally,14
58,detect,14
59,alter,14
60,physic,13
61,barter,13
62,advertise,13
63,molecule,13
64,evolutionary,13
65,fade,13
66,gesture,13
67,bore,13
68,critic,13
69,adapt,13
70,possess,13
71,uncertainty,13
72,wiggly,12
73,overwhelm,12
74,swimmer,12
75,organism,12
76,motivate,12
77,isolate,12
78,trajectory,12
79,obstacle,12
80,attach,12
81,attribute,12
82,modify,12
83,economist,12
84,conclude,12
85,sculpture,12
86,employ,12
87,accomplish,12
88,experimenter,11
89,depress,11
90,predator,11
91,analogy,11
92,strive,11
93,philosopher,11
94,relieve,11
95,render,11
96,dioxide,11
97,glance,11
98,compliment,11
99,impose,11
100,frustration,11
101,manufacture,11
102,pause,11
103,donation,11
104,disappointment,11
105,differ,11
106,passive,11
107,likewise,11
108,amputate,10
109,fascinate,10
110,startle,10
111,excitedly,10
112,ethic,10
113,subsidy,10
114,interrupt,10
115,dilemma,10
116,scar,10
117,imply,10
118,analyze,10
119,dismiss,10
120,consume,10
121,sensation,10
122,inevitably,10
123,continually,10
124,translate,10
125,costly,10
126,unconscious,10
127,capitalism,10
128,colleague,10
129,propose,10
130,sail,10
131,precision,10
132,vitamin,10
133,slam,10
134,neuroscientist,9
135,magnify,9
136,tempt,9
137,complicate,9
138,thinker,9
139,diagnose,9
140,diminish,9
141,eagerly,9
142,commute,9
143,vapor,9
144,assign,9
145,reinforce,9
146,emphasize,9
147,distract,9
148,neglect,9
149,exhaust,9
150,endure,9
151,exploit,9
152,autonomy,9
153,judgement,9
154,instinct,9
155,calculate,9
156,dramatically,9
157,blend,9
158,countless,9
159,incentive,9
160,grasp,9
161,tire,9
162,reject,9
163,headquarter,8
164,granary,8
165,handcuff,8
166,cubicle,8
167,irritate,8
168,burrow,8
169,seawater,8
170,anthropologist,8
171,deprive,8
172,compel,8
173,nurture,8
174,biologist,8
175,bouquet,8
176,stalk,8
177,accumulate,8
178,doorway,8
179,spectator,8
180,magician,8
181,implication,8
182,discourage,8
183,swell,8
184,stimulate,8
185,sensory,8
186,gaze,8
187,ecological,8
188,capitalist,8
189,efficiently,8
190,accompany,8
191,temper,8
192,persuade,8
193,constitute,8
194,obscure,8
195,fulfill,8
196,dominate,8
197,vague,8
198,affection,8
199,exceed,8
200,sustain,8
201,threaten,8
202,elegant,8
203,socially,8
204,irrelevant,8
205,prey,8
206,facilitate,8
207,firmly,8
208,isolation,8
209,aesthetic,8
210,profitable,8
211,essence,8
212,mathematical,8
213,strengthen,8
214,transform,8
215,declare,8
216,neocortex,7
217,microbe,7
218,newsworthy,7
219,shopper,7
220,sensibility,7
221,drawback,7
222,constraint,7
223,refine,7
224,entropy,7
225,aspiration,7
226,persuasive,7
227,blindness,7
228,compose,7
229,globalization,7
230,intrinsic,7
231,weaken,7
232,dissolve,7
233,conversely,7
234,physiological,7
235,disrupt,7
236,equilibrium,7
237,tailor,7
238,paradigm,7
239,blossom,7
240,pest,7
241,disagreement,7
242,retrieve,7
243,roar,7
244,greatness,7
245,masculine,7
246,metaphor,7
247,tempo,7
248,worthwhile,7
249,merge,7
250,remarkably,7
251,herd,7
252,surroundings,7
253,imaginary,7
254,psychic,7
255,reluctant,7
256,enjoyment,7
257,absorb,7
258,coordinate,7
259,despair,7
260,convey,7
261,dominance,7
262,discourse,7
263,bait,7
264,incorporate,7
265,commodity,7
266,proximity,7
267,biography,7
268,sharply,7
269,necessity,7
270,educate,7
271,readily,7
272,occupy,7
273,automobile,7
274,distress,7
275,melt,7
276,sweep,7
277,hazard,7
278,archive,7
279,entrepreneur,7
280,civilization,7
281,deliberately,7
282,bounce,7
283,enthusiasm,7
284,mineral,7
285,workplace,7
286,echo,7
287,adequate,7
288,premonitory,6
289,handwrite,6
290,sophisticate,6
291,ferryman,6
292,shrivel,6
293,cuneiform,6
294,underlie,6
295,snowmobile,6
296,villager,6
297,subconsciously,6
298,sycamore,6
299,amazement,6
300,stanza,6
301,dribble,6
302,nomad,6
303,cocoon,6
304,parable,6
305,condensation,6
306,incline,6
307,theorist,6
308,neuron,6
309,exaggerate,6
310,devise,6
311,assertive,6
312,memorize,6
313,unload,6
314,speechless,6
315,recite,6
316,diffuse,6
317,inhabit,6
318,farmland,6
319,inquire,6
320,prescribe,6
321,indifferent,6
322,roadside,6
323,raft,6
324,uncover,6
325,adventurous,6
326,paddle,6
327,correspond,6
328,bribe,6
329,conform,6
330,intuition,6
331,uniquely,6
332,offend,6
333,attain,6
334,proliferation,6
335,novelist,6
336,unfamiliar,6
337,maximize,6
338,astronomy,6
339,corpus,6
340,mutation,6
341,symptom,6
342,erosion,6
343,durable,6
344,manipulate,6
345,unwilling,6
346,digest,6
347,integrate,6
348,anticipation,6
349,allocation,6
350,cooperate,6
351,distribute,6
352,warmth,6
353,willingness,6
354,organizational,6
355,teammate,6
356,yell,6
357,abundance,6
358,sync,6
359,cooperative,6
360,systematic,6
361,roast,6
362,interfere,6
363,obsession,6
364,historian,6
365,unemployed,6
366,feminine,6
367,fierce,6
368,inequality,6
369,mentor,6
370,halt,6
371,consequently,6
372,risky,6
373,curiosity,6
374,randomly,6
375,spark,6
376,expedition,6
377,probe,6
378,kindness,6
379,accordingly,6
380,machinery,6
381,nonetheless,6
382,bolt,6
383,donate,6
384,cope,6
385,static,6
386,orientation,6
387,instal,5
388,horrify,5
389,inattentive,5
390,taxon,5
391,pitfall,5
392,infinitive,5
393,devastate,5
394,extrinsic,5
395,paralyze,5
396,contaminate,5
397,cline,5
398,obsess,5
399,yearn,5
400,deadlock,5
401,navigational,5
402,sociologist,5
403,spar,5
404,craftsmanship,5
405,pastime,5
406,humankind,5
407,subsistence,5
408,salient,5
409,pedagogy,5
410,archaeologist,5
411,inseparable,5
412,screwdriver,5
413,chore,5
414,propel,5
415,embody,5
416,individuality,5
417,geologist,5
418,generalization,5
419,mislead,5
420,effortlessly,5
421,mathematician,5
422,inference,5
423,ordinarily,5
424,visualize,5
425,specialize,5
426,recollection,5
427,imitate,5
428,coworker,5
429,beak,5
430,overtake,5
431,instruct,5
432,mammal,5
433,characterize,5
434,spontaneously,5
435,indifference,5
436,fiercely,5
437,stun,5
438,conserve,5
439,graceful,5
440,authoritative,5
441,barren,5
442,motif,5
443,helper,5
444,cultivate,5
445,riddle,5
446,enthusiast,5
447,imitation,5
448,fungi,5
449,boast,5
450,overlook,5
451,devote,5
452,swiftly,5
453,tuck,5
454,outsider,5
455,catastrophe,5
456,hardship,5
457,mastery,5
458,orchard,5
459,flaw,5
460,meadow,5
461,soak,5
462,empirical,5
463,differentiate,5
464,metabolic,5
465,damp,5
466,paddy,5
467,assemble,5
468,amazingly,5
469,undermine,5
470,accelerate,5
471,morale,5
472,novelty,5
473,suppress,5
474,govern,5
475,archaeological,5
476,drown,5
477,negatively,5
478,emission,5
479,comprehend,5
480,limb,5
481,illustrate,5
482,routinely,5
483,impulse,5
484,choke,5
485,patron,5
486,unpaid,5
487,potent,5
488,appropriately,5
489,initiate,5
490,ironically,5
491,utilize,5
492,bind,5
493,conception,5
494,ideally,5
495,calculation,5
496,neural,5
497,iris,5
498,simplicity,5
499,occurrence,5
500,exclude,5
501,encouragement,5
502,confront,5
503,unrelated,5
504,sufficiently,5
505,extraction,5
506,melody,5
507,suburb,5
508,stimulus,5
509,geological,5
510,scent,5
511,accidental,5
512,applause,5
513,entertain,5
514,allowance,5
515,fatigue,5
516,regulate,5
517,unacceptable,5
518,selective,5
519,attachment,5
520,plague,5
521,individually,5
522,scrap,5
523,moisture,5
524,verbal,5
525,deployment,5
526,terribly,5
527,gratitude,5
528,profound,5
529,philosophical,5
530,sensitivity,5
531,bargain,5
532,purse,5
533,explicit,5
534,supposedly,5
535,circulation,5
536,polar,5
537,thereafter,5
538,memorable,5
539,caution,5
540,insult,5
541,accommodate,5
542,supplement,5
543,ignorance,5
544,tablet,5
545,effectiveness,5
546,protoplasm,4
