category,number,title,body,meta,options,answer,explanation
quote,1,오늘 할 수 있는 가장 작은 일을 시작하라.,큰 계획보다 작은 실행 하나가 하루의 방향을 바꿉니다.,실천형 문장 · 자체 작성,,,
quote,2,속도가 느려도 방향이 맞으면 전진이다.,남과 비교하기보다 어제보다 한 걸음 나아갔는지 살펴보세요.,성장형 문장 · 자체 작성,,,
quote,3,쉼은 멈춤이 아니라 다시 집중하기 위한 여백이다.,짧게 쉬고 난 뒤 가장 중요한 일 하나로 돌아가면 됩니다.,회복형 문장 · 자체 작성,,,
quote,4,완벽한 때를 기다리면 시작할 때를 놓친다.,준비가 부족해도 작게 시작하면 다음 단계가 보입니다.,시작형 문장 · 자체 작성,,,
quote,5,하루를 바꾸는 힘은 거창한 결심보다 반복에 있다.,매일 할 수 있는 작은 습관 하나를 선택해 보세요.,습관형 문장 · 자체 작성,,,
quote,6,문제가 커 보일수록 다음 한 단계만 보라.,전체를 한꺼번에 해결하려 하지 말고 지금 할 일부터 나누세요.,문제해결형 문장 · 자체 작성,,,
quote,7,생각을 정리하려면 먼저 한 문장으로 적어보라.,복잡한 마음도 글로 옮기면 핵심과 주변이 구분됩니다.,정리형 문장 · 자체 작성,,,
quote,8,지친 날의 성과는 포기하지 않은 것만으로도 충분하다.,오늘의 에너지를 인정하고 할 수 있는 범위 안에서 마무리하세요.,회복형 문장 · 자체 작성,,,
quote,9,좋은 선택은 더 많이 하는 것이 아니라 덜 중요한 것을 버리는 데서 시작된다.,우선순위 밖의 일을 하나 내려놓으면 중요한 일에 힘이 생깁니다.,선택형 문장 · 자체 작성,,,
quote,10,자신감은 시작 전에 생기기보다 해낸 뒤에 쌓인다.,확신이 부족해도 작은 행동을 끝내며 근거를 만드세요.,도전형 문장 · 자체 작성,,,
quote,11,말을 줄이면 상대의 마음이 들릴 때가 있다.,대답을 준비하기보다 끝까지 듣는 연습을 해보세요.,관계형 문장 · 자체 작성,,,
quote,12,실수는 능력의 반대가 아니라 학습의 자료다.,잘못된 지점을 기록하면 같은 실수를 줄일 수 있습니다.,학습형 문장 · 자체 작성,,,
quote,13,마음이 급할수록 기준을 먼저 확인하라.,속도보다 무엇을 위해 하는지 분명히 하면 판단이 흔들리지 않습니다.,판단형 문장 · 자체 작성,,,
quote,14,오늘의 집중은 내일의 부담을 줄인다.,미루고 싶은 일에 단 10분만 먼저 사용해 보세요.,집중형 문장 · 자체 작성,,,
quote,15,다른 사람의 속도는 나의 마감 시간이 아니다.,자신의 조건과 목표에 맞는 리듬을 유지하세요.,균형형 문장 · 자체 작성,,,
quote,16,모르는 것을 인정하는 순간 배움이 시작된다.,질문 하나가 막연한 추측보다 더 빠른 길을 열어줍니다.,학습형 문장 · 자체 작성,,,
