day,category,title,main,answer_or_note
1,vocab,allocate,"배정하다, 할당하다",The finance director allocated additional funds to the training program.
1,expression,be eligible for,~할 자격이 있다,Full-time employees are eligible for tuition assistance after six months.
1,sentence,Day 1 암기문장,The committee requested a more accurate estimate before approving the renovation budget.,정답 문장: The committee requested a more accurate estimate before approving the renovation budget.
1,grammar,품사: 형용사 자리,관사와 명사 사이에는 보통 형용사가 옵니다.,more 뒤에서 estimate를 수식하므로 형용사 accurate가 맞습니다.
1,practice,Part 5 실전문제,The committee requested a more _____ estimate before approving the renovation budget.,accurate
2,vocab,comply,준수하다,All contractors must comply with the updated safety regulations.
2,expression,comply with,~을 준수하다,All visitors must comply with the building’s security procedures.
2,sentence,Day 2 암기문장,All expense claims must be carefully reviewed before payment is authorized.,정답 문장: All expense claims must be carefully reviewed before payment is authorized.
2,grammar,품사: 부사 자리,동사·형용사·다른 부사를 수식하는 자리는 부사입니다.,reviewed를 수식하는 부사 carefully가 필요합니다.
2,practice,Part 5 실전문제,All expense claims must be _____ reviewed before payment is authorized.,carefully
3,vocab,mandatory,의무적인,Attendance at the orientation session is mandatory for new employees.
3,expression,in accordance with,~에 따라,Refunds will be issued in accordance with the company policy.
3,sentence,Day 3 암기문장,The consultant’s analysis of the market was included in the final report.,정답 문장: The consultant’s analysis of the market was included in the final report.
3,grammar,품사: 명사 자리,소유격 뒤에는 명사가 옵니다.,소유격 consultant’s 뒤에는 명사 analysis가 옵니다.
3,practice,Part 5 실전문제,The consultant’s _____ of the market was included in the final report.,analysis
4,vocab,reimburse,"변제하다, 상환하다",The company will reimburse employees for approved travel expenses.
4,expression,ahead of schedule,예정보다 일찍,The renovation was completed two weeks ahead of schedule.
4,sentence,Day 4 암기문장,The new software can categorize customer requests according to priority.,정답 문장: The new software can categorize customer requests according to priority.
4,grammar,품사: 동사 자리,조동사 뒤에는 동사원형이 옵니다.,조동사 can 뒤에는 동사원형 categorize가 맞습니다.
4,practice,Part 5 실전문제,The new software can _____ customer requests according to priority.,categorize
5,vocab,tentative,잠정적인,A tentative schedule will be circulated before the final meeting date is confirmed.
5,expression,behind schedule,예정보다 늦게,The software update is running slightly behind schedule.
5,sentence,Day 5 암기문장,The manager thanked the staff for their active participation in the workshop.,정답 문장: The manager thanked the staff for their active participation in the workshop.
5,grammar,품사: -tion 명사,전치사 뒤에는 명사 또는 동명사가 옵니다.,소유격 their와 형용사 active 뒤에는 명사 participation이 필요합니다.
5,practice,Part 5 실전문제,The manager thanked the staff for their active _____ in the workshop.,participation
6,vocab,consecutive,연속적인,Sales increased for the third consecutive quarter.
6,expression,on behalf of,~을 대표하여,I am writing on behalf of the regional sales team.
6,sentence,Day 6 암기문장,Applicants should contact the program coordinator if they need additional information.,정답 문장: Applicants should contact the program coordinator if they need additional information.
6,grammar,품사: 사람 명사,문맥상 업무를 수행하는 사람을 나타내는 명사가 필요합니다.,연락 대상인 사람을 뜻하는 coordinator가 맞습니다.
6,practice,Part 5 실전문제,Applicants should contact the program _____ if they need additional information.,coordinator
7,vocab,deteriorate,악화되다,The condition of the equipment may deteriorate without regular maintenance.
7,expression,due to,~ 때문에,The flight was delayed due to heavy fog.
7,sentence,Day 7 암기문장,The company introduced several effective measures to reduce energy use.,정답 문장: The company introduced several effective measures to reduce energy use.
7,grammar,품사: -ive 형용사,명사 앞에서 성격을 나타내는 형용사가 필요합니다.,measures를 수식하는 형용사 effective가 맞습니다.
7,practice,Part 5 실전문제,The company introduced several _____ measures to reduce energy use.,effective
8,vocab,facilitate,"촉진하다, 용이하게 하다",The new platform facilitates communication among regional offices.
8,expression,in response to,~에 응하여,The company expanded support hours in response to customer feedback.
8,sentence,Day 8 암기문장,The revised application form is considerably simpler than the previous version.,정답 문장: The revised application form is considerably simpler than the previous version.
8,grammar,품사: 부사와 형용사,형용사 앞에는 정도를 나타내는 부사가 옵니다.,than이 있으므로 비교급 simpler가 맞고 considerably가 이를 수식합니다.
8,practice,Part 5 실전문제,The revised application form is considerably _____ than the previous version.,simpler
9,vocab,eligible,자격이 있는,Employees who have completed one year of service are eligible for the bonus.
9,expression,in charge of,~을 담당하는,Ms. Patel is in charge of coordinating the annual conference.
9,sentence,Day 9 암기문장,All visitors must wear an identification badge while inside the research facility.,정답 문장: All visitors must wear an identification badge while inside the research facility.
9,grammar,명사 복합어: identification badge,앞 명사가 뒤 명사의 용도를 설명하는 복합명사를 익힙니다.,identification이 badge의 용도를 설명하는 복합명사 identification badge가 자연스럽습니다.
9,practice,Part 5 실전문제,All visitors must wear an identification _____ while inside the research facility.,badge
10,vocab,designate,지정하다,The lobby has been designated as the registration area.
10,expression,be responsible for,~을 책임지다,The facilities team is responsible for maintaining the elevators.
10,sentence,Day 10 암기문장,The firm reduced processing time by eliminating several approval steps.,정답 문장: The firm reduced processing time by eliminating several approval steps.
10,grammar,품사: 동명사,전치사 by 뒤에는 동명사가 옵니다.,전치사 by 뒤에는 동명사 eliminating이 필요합니다.
10,practice,Part 5 실전문제,The firm reduced processing time by _____ several approval steps.,eliminating
11,vocab,confidential,기밀의,Please keep all client information confidential.
11,expression,take effect,효력이 발생하다,The revised pricing policy will take effect on September 1.
11,sentence,Day 11 암기문장,Ms. Ortiz has served as regional director since the branch opened in 2021.,정답 문장: Ms. Ortiz has served as regional director since the branch opened in 2021.
11,grammar,시제: 현재완료,과거부터 현재까지 이어진 기간에는 현재완료가 적합합니다.,since + 과거 시점과 현재까지의 계속이므로 has served입니다.
11,practice,Part 5 실전문제,Ms. Ortiz _____ as regional director since the branch opened in 2021.,has served
12,vocab,prospective,"장래의, 잠재적인",Prospective tenants may tour the building by appointment.
12,expression,meet a deadline,마감일을 지키다,Additional staff were assigned to help the team meet the deadline.
12,sentence,Day 12 암기문장,"By the time the inspector arrived, the maintenance crew had replaced the faulty valve.","정답 문장: By the time the inspector arrived, the maintenance crew had replaced the faulty valve."
12,grammar,시제: 과거완료,과거의 두 사건 중 먼저 일어난 사건에는 과거완료를 씁니다.,arrived보다 먼저 완료된 일이므로 had replaced가 맞습니다.
12,practice,Part 5 실전문제,"By the time the inspector arrived, the maintenance crew _____ the faulty valve.",had replaced
13,vocab,discrepancy,"불일치, 차이",The auditor found a discrepancy between the invoice and the payment record.
13,expression,file a complaint,불만을 제기하다,Customers may file a complaint through the online service center.
13,sentence,Day 13 암기문장,"By next Friday, the accounting team will have processed all outstanding invoices.","정답 문장: By next Friday, the accounting team will have processed all outstanding invoices."
13,grammar,시제: 미래완료,미래 특정 시점까지 완료될 일을 나타냅니다.,By next Friday와 완료 의미이므로 미래완료가 맞습니다.
13,practice,Part 5 실전문제,"By next Friday, the accounting team _____ all outstanding invoices.",will have processed
14,vocab,accommodate,"수용하다, 편의를 제공하다",The conference room can accommodate up to eighty participants.
14,expression,place an order,주문하다,Please place your order before noon for same-day delivery.
14,sentence,Day 14 암기문장,The purchasing manager is meeting with three vendors tomorrow morning.,정답 문장: The purchasing manager is meeting with three vendors tomorrow morning.
14,grammar,시제: 일정의 현재진행,확정된 가까운 미래 일정은 현재진행형으로 표현할 수 있습니다.,tomorrow morning의 확정된 약속이므로 is meeting이 자연스럽습니다.
14,practice,Part 5 실전문제,The purchasing manager _____ with three vendors tomorrow morning.,is meeting
15,vocab,inventory,"재고, 재고품",The warehouse staff conducts a complete inventory every month.
15,expression,issue a refund,환불금을 지급하다,The store issued a full refund for the damaged item.
15,sentence,Day 15 암기문장,All confidential documents must be stored in a locked cabinet.,정답 문장: All confidential documents must be stored in a locked cabinet.
15,grammar,수동태,행위의 대상이 주어일 때 수동태를 사용합니다.,문서가 보관되는 대상이므로 must be stored가 맞습니다.
15,practice,Part 5 실전문제,All confidential documents must _____ in a locked cabinet.,be stored
16,vocab,premises,"구내, 사업장",Smoking is prohibited anywhere on the company premises.
16,expression,reach an agreement,합의에 이르다,The two companies reached an agreement after several weeks of negotiation.
16,sentence,Day 16 암기문장,The final design has been approved by both the client and the engineering team.,정답 문장: The final design has been approved by both the client and the engineering team.
16,grammar,수동태와 완료,현재까지 완료된 수동 동작에는 현재완료 수동태를 씁니다.,디자인이 승인받은 것이므로 has been approved입니다.
16,practice,Part 5 실전문제,The final design _____ by both the client and the engineering team.,has been approved
17,vocab,renovation,"개조, 보수 공사",The restaurant will remain closed during the renovation.
17,expression,conduct a survey,설문조사를 실시하다,The marketing team conducted a survey of recent customers.
17,sentence,Day 17 암기문장,Each of the proposals includes a detailed cost estimate.,정답 문장: Each of the proposals includes a detailed cost estimate.
17,grammar,주어동사 일치: each,each of + 복수명사 뒤의 동사는 단수 취급합니다.,주어의 핵심은 Each이므로 단수 동사 includes가 맞습니다.
17,practice,Part 5 실전문제,Each of the proposals _____ a detailed cost estimate.,includes
18,vocab,merger,합병,The merger is expected to reduce administrative costs.
18,expression,draw up a contract,계약서를 작성하다,The legal department will draw up a contract for the new partnership.
18,sentence,Day 18 암기문장,The marketing director and her assistant update the presentation every quarter.,정답 문장: The marketing director and her assistant update the presentation every quarter.
18,grammar,주어동사 일치: 복합주어,A and B는 일반적으로 복수 동사를 취합니다.,두 사람이 and로 연결되어 복수 동사 update가 맞습니다.
18,practice,Part 5 실전문제,The marketing director and her assistant _____ the presentation every quarter.,update
19,vocab,subsidiary,자회사,The firm opened a new subsidiary in Singapore last year.
19,expression,launch a campaign,캠페인을 시작하다,The company launched a campaign to promote its new service.
19,sentence,Day 19 암기문장,Either the supervisors or the plant manager signs the final inspection report.,정답 문장: Either the supervisors or the plant manager signs the final inspection report.
19,grammar,주어동사 일치: either or,either A or B에서는 가까운 주어에 수를 맞춥니다.,가까운 주어 plant manager가 단수이므로 signs가 맞습니다.
19,practice,Part 5 실전문제,Either the supervisors or the plant manager _____ the final inspection report.,signs
20,vocab,warranty,"보증서, 품질보증",The printer is covered by a two-year warranty.
20,expression,make a reservation,예약하다,Guests are advised to make a reservation in advance.
20,sentence,Day 20 암기문장,The information in the updated handbook is useful to new employees.,정답 문장: The information in the updated handbook is useful to new employees.
20,grammar,가산·불가산 명사,information은 불가산 명사이므로 단수 취급합니다.,information은 불가산 단수이므로 is가 맞습니다.
20,practice,Part 5 실전문제,The information in the updated handbook _____ useful to new employees.,is
